timestamp,ch1
1717509722.7319841,-25255.973667618477
1717509722.735984,-25252.509147227902
1717509722.739984,-25251.391560005137
1717509722.743984,-25251.637429194147
1717509722.7479842,-25254.14082457314
1717509722.7519841,-25253.626734450667
1717509722.755984,-25254.923135629077
1717509722.759984,-25254.744321673432
1717509722.763984,-25255.012542606895
1717509722.7679842,-25264.04264736684
1717509722.771984,-25259.214670564495
1717509722.775984,-25257.828862408267
1717509722.779984,-25256.75597867441
1717509722.783984,-25253.13499607265
1717509722.7879841,-25251.838594894245
1717509722.791984,-25248.888164626143
1717509722.795984,-25247.211783791994
1717509722.799984,-25254.409045506603
1717509722.803984,-25255.437225751546
1717509722.8079839,-25256.644219952133
1717509722.811984,-25255.772501918378
1717509722.815984,-25252.88912688364
1717509722.819984,-25246.965914602988
1717509722.823984,-25259.840519409245
1717509722.827984,-25262.14274908814
1717509722.831984,-25259.013504864397
1717509722.835984,-25255.057246095806
1717509722.839984,-25253.29145828384
1717509722.843984,-25252.419740250083
1717509722.847984,-25259.013504864397
1717509722.851984,-25256.219536807483
1717509722.855984,-25252.419740250083
1717509722.859984,-25255.101949584718
1717509722.8639839,-25260.89105139864
1717509722.867984,-25270.636411981155
1717509722.871984,-25266.031952623365
1717509722.875984,-25263.81912992229
1717509722.879984,-25261.5616037323
1717509722.8839839,-25266.389580534647
1717509722.8879838,-25259.080560097762
1717509722.891984,-25261.71806594349
1717509722.895984,-25263.81912992229
1717509722.899984,-25260.868699654187
1717509722.9039838,-25264.310868300305
1717509722.907984,-25273.542138760346
1717509722.911984,-25267.03778112385
1717509722.915984,-25262.880356655165
1717509722.9199839,-25258.164138575095
1717509722.9239838,-25258.320600786283
1717509722.927984,-25262.478025254968
1717509722.931984,-25261.673362454578
1717509722.935984,-25260.46636825399
1717509722.9399838,-25260.89105139864
1717509722.9439838,-25266.43428402356
1717509722.947984,-25264.601440978226
1717509722.951984,-25267.887147413156
1717509722.9559839,-25264.355571789216
1717509722.9599838,-25258.410007764105
1717509722.9639838,-25269.228252080473
1717509722.9679837,-25272.46925502649
1717509722.971984,-25267.373057290682
1717509722.9759839,-25263.61796422219
1717509722.9799838,-25261.740417687943
1717509722.9839838,-25262.701542699524
1717509722.987984,-25269.51882475839
1717509722.991984,-25267.931850902063
1717509722.9959838,-25263.75207468892
1717509722.9999838,-25266.344877045736
1717509723.0039837,-25267.216595079495
1717509723.007984,-25263.416798522092
1717509723.0119839,-25266.85896716821
1717509723.0159838,-25268.53534800236
1717509723.0199838,-25262.8133014218
1717509723.0239837,-25269.71999045849
1717509723.027984,-25271.79870269283
1717509723.0319839,-25270.211728836504
1717509723.0359838,-25269.787045691854
1717509723.0399837,-25273.743304460444
1717509723.0439837,-25270.457598025514
1717509723.0479836,-25270.94933640353
1717509723.0519838,-25273.631545738168
1717509723.0559838,-25268.37888579117
1717509723.0599837,-25266.94837414603
1717509723.0639837,-25269.272955569384
1717509723.0679839,-25268.267127068895
1717509723.0719838,-25266.993077634943
1717509723.0759838,-25266.18841483455
1717509723.0799837,-25264.266164811394
1717509723.0839837,-25268.267127068895
1717509723.0879838,-25266.389580534647
1717509723.0919838,-25259.818167664787
1717509723.0959837,-25262.52272874388
1717509723.0999837,-25267.8647956687
1717509723.1039836,-25272.20103409303
1717509723.1079838,-25268.937679402552
1717509723.1119838,-25268.065961368797
1717509723.1159837,-25268.937679402552
1717509723.1199837,-25265.942545645543
1717509723.1239836,-25272.33514455976
1717509723.1279836,-25282.684002242568
1717509723.1319838,-25289.791856979355
1717509723.1359837,-25298.553740805834
1717509723.1399837,-25295.111572159716
1717509723.1439836,-25283.354554576228
1717509723.1479838,-25276.738438217457
1717509723.1519837,-25273.877414927178
1717509723.1559837,-25276.559624261812
1717509723.1599836,-25280.582938263768
1717509723.1639836,-25279.107723129717
1717509723.1679838,-25275.553795761323
1717509723.1719837,-25273.05040038233
1717509723.1759837,-25276.894900428644
1717509723.1799836,-25279.04066789635
1717509723.1839836,-25276.872548684187
1717509723.1879838,-25277.05136263983
1717509723.1919837,-25277.5654527623
1717509723.1959836,-25272.759827704413
1717509723.1999836,-25273.832711438266
1717509723.2039835,-25280.24766209694
1717509723.2079835,-25281.00762140842
1717509723.2119837,-25283.08633364276
1717509723.2159836,-25282.438133053558
1717509723.2199836,-25281.834635953266
1717509723.2239835,-25280.67234524159
1717509723.2279837,-25273.81035969381
1717509723.2319837,-25281.365249319704
1717509723.2359836,-25281.566415019803
1717509723.2399836,-25287.020240666898
1717509723.2439835,-25291.647051769145
1717509723.2479837,-25289.456580812526
1717509723.2519836,-25278.347763818238
1717509723.2559836,-25277.5654527623
1717509723.2599835,-25280.180606863574
1717509723.2639835,-25283.131037131672
1717509723.2679837,-25286.01441216641
1717509723.2719836,-25283.08633364276
1717509723.2759836,-25278.124246373685
1717509723.2799833,-25277.364287062202
1717509723.2839832,-25278.39246730715
1717509723.2879832,-25290.373002335193
1717509723.2919834,-25290.127133146183
1717509723.2959833,-25279.085371385263
